"Leading Cancer Sites"	"Leading Cancer Sites Code"	"States"	"States Code"	"Year"	"Year Code"	"Sex"	"Sex Code"	Count	Population	Crude Rate
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2002"	"2002"	"Female"	"F"	149	2704217	5.5
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2002"	"2002"	"Male"	"M"	211	2692038	7.8
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2003"	"2003"	"Female"	"F"	146	2764077	5.3
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2003"	"2003"	"Male"	"M"	188	2746287	6.8
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2004"	"2004"	"Female"	"F"	197	2835606	6.9
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2004"	"2004"	"Male"	"M"	211	2816798	7.5
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2005"	"2005"	"Female"	"F"	194	2930811	6.6
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2005"	"2005"	"Male"	"M"	220	2908266	7.6
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2006"	"2006"	"Female"	"F"	190	3026134	6.3
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2006"	"2006"	"Male"	"M"	246	3003007	8.2
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2007"	"2007"	"Female"	"F"	187	3096998	6.0
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2007"	"2007"	"Male"	"M"	237	3070683	7.7
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2008"	"2008"	"Female"	"F"	204	3155278	6.5
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2008"	"2008"	"Male"	"M"	256	3125084	8.2
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2009"	"2009"	"Female"	"F"	211	3189908	6.6
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2009"	"2009"	"Male"	"M"	252	3153246	8.0
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2010"	"2010"	"Female"	"F"	202	3223331	6.3
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2010"	"2010"	"Male"	"M"	265	3184011	8.3
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2011"	"2011"	"Female"	"F"	221	3255268	6.8
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2011"	"2011"	"Male"	"M"	243	3218148	7.6
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2002"	"2002"	"Female"	"F"	64	1383239	4.6
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2002"	"2002"	"Male"	"M"	86	1322688	6.5
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2003"	"2003"	"Female"	"F"	82	1391523	5.9
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2003"	"2003"	"Male"	"M"	103	1333293	7.7
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2004"	"2004"	"Female"	"F"	72	1403048	5.1
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2004"	"2004"	"Male"	"M"	111	1346638	8.2
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2005"	"2005"	"Female"	"F"	97	1418295	6.8
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2005"	"2005"	"Male"	"M"	92	1362802	6.8
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2006"	"2006"	"Female"	"F"	85	1438428	5.9
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2006"	"2006"	"Male"	"M"	119	1383333	8.6
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2007"	"2007"	"Female"	"F"	116	1451358	8.0
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2007"	"2007"	"Male"	"M"	108	1397292	7.7
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2008"	"2008"	"Female"	"F"	98	1464220	6.7
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2008"	"2008"	"Male"	"M"	110	1410334	7.8
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2009"	"2009"	"Female"	"F"	96	1475013	6.5
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2009"	"2009"	"Male"	"M"	111	1421830	7.8
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2010"	"2010"	"Female"	"F"	97	1487273	6.5
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2010"	"2010"	"Male"	"M"	116	1434725	8.1
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2011"	"2011"	"Female"	"F"	85	1496627	5.7
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2011"	"2011"	"Male"	"M"	121	1444411	8.4
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2002"	"2002"	"Female"	"F"	936	17498462	5.3
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2002"	"2002"	"Male"	"M"	1171	17373381	6.7
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2003"	"2003"	"Female"	"F"	978	17709509	5.5
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2003"	"2003"	"Male"	"M"	1189	17543650	6.8
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2004"	"2004"	"Female"	"F"	917	17871415	5.1
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2004"	"2004"	"Male"	"M"	1233	17703161	7.0
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2005"	"2005"	"Female"	"F"	976	17996230	5.4
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2005"	"2005"	"Male"	"M"	1176	17831713	6.6
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2006"	"2006"	"Female"	"F"	918	18097471	5.1
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2006"	"2006"	"Male"	"M"	1178	17923731	6.6
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2007"	"2007"	"Female"	"F"	976	18214926	5.4
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2007"	"2007"	"Male"	"M"	1268	18035385	7.0
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2008"	"2008"	"Female"	"F"	947	18396972	5.1
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2008"	"2008"	"Male"	"M"	1284	18207365	7.1
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2009"	"2009"	"Female"	"F"	1018	18583075	5.5
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2009"	"2009"	"Male"	"M"	1296	18378154	7.1
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2010"	"2010"	"Female"	"F"	1043	18773276	5.6
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2010"	"2010"	"Male"	"M"	1279	18546274	6.9
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2011"	"2011"	"Female"	"F"	993	18941522	5.2
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2011"	"2011"	"Male"	"M"	1283	18694789	6.9
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2002"	"2002"	"Female"	"F"	121	2228665	5.4
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2002"	"2002"	"Male"	"M"	158	2261741	7.0
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2003"	"2003"	"Female"	"F"	129	2253214	5.7
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2003"	"2003"	"Male"	"M"	147	2275518	6.5
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2004"	"2004"	"Female"	"F"	137	2274511	6.0
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2004"	"2004"	"Male"	"M"	161	2300502	7.0
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2005"	"2005"	"Female"	"F"	146	2308238	6.3
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2005"	"2005"	"Male"	"M"	176	2323650	7.6
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2006"	"2006"	"Female"	"F"	156	2352960	6.6
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2006"	"2006"	"Male"	"M"	158	2367463	6.7
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2007"	"2007"	"Female"	"F"	133	2396433	5.5
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2007"	"2007"	"Male"	"M"	181	2407435	7.5
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2008"	"2008"	"Female"	"F"	157	2439060	6.4
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2008"	"2008"	"Male"	"M"	185	2450670	7.5
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2009"	"2009"	"Female"	"F"	161	2480710	6.5
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2009"	"2009"	"Male"	"M"	205	2491485	8.2
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2010"	"2010"	"Female"	"F"	146	2517949	5.8
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2010"	"2010"	"Male"	"M"	191	2529590	7.6
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2011"	"2011"	"Female"	"F"	145	2555122	5.7
	"Brain and Other Nervous System"	"31010-31040"	"Colorado"	"08"	"2011"	"2011"	"Male"	"M"	206	2566778	8.0
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2002"	"2002"	"Female"	"F"	98	1780500	5.5
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2002"	"2002"	"Male"	"M"	151	1678249	9.0
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2003"	"2003"	"Female"	"F"	129	1793468	7.2
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2003"	"2003"	"Male"	"M"	143	1690868	8.5
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2004"	"2004"	"Female"	"F"	121	1798078	6.7
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2004"	"2004"	"Male"	"M"	152	1698016	9.0
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2005"	"2005"	"Female"	"F"	130	1802068	7.2
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2005"	"2005"	"Male"	"M"	134	1704888	7.9
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2006"	"2006"	"Female"	"F"	127	1807675	7.0
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2006"	"2006"	"Male"	"M"	137	1709785	8.0
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2007"	"2007"	"Female"	"F"	115	1811617	6.3
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2007"	"2007"	"Male"	"M"	138	1715653	8.0
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2008"	"2008"	"Female"	"F"	118	1820749	6.5
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2008"	"2008"	"Male"	"M"	167	1724830	9.7
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2009"	"2009"	"Female"	"F"	133	1828779	7.3
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2009"	"2009"	"Male"	"M"	156	1733028	9.0
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2010"	"2010"	"Female"	"F"	128	1836823	7.0
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2010"	"2010"	"Male"	"M"	149	1742350	8.6
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2011"	"2011"	"Female"	"F"	130	1840904	7.1
	"Brain and Other Nervous System"	"31010-31040"	"Connecticut"	"09"	"2011"	"2011"	"Male"	"M"	158	1747728	9.0
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2002"	"2002"	"Female"	"F"	24	414652	5.8
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2002"	"2002"	"Male"	"M"	25	391517	6.4
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2003"	"2003"	"Female"	"F"	19	420802	4.5
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2003"	"2003"	"Male"	"M"	24	397201	6.0
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2004"	"2004"	"Female"	"F"	29	427320	6.8
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2004"	"2004"	"Male"	"M"	40	403483	9.9
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2005"	"2005"	"Female"	"F"	27	435227	6.2
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2005"	"2005"	"Male"	"M"	42	409923	10.2
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2006"	"2006"	"Female"	"F"	26	442766	5.9
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2006"	"2006"	"Male"	"M"	40	416502	9.6
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2007"	"2007"	"Female"	"F"	30	449398	6.7
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2007"	"2007"	"Male"	"M"	33	422351	7.8
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2008"	"2008"	"Female"	"F"	31	455481	6.8
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2008"	"2008"	"Male"	"M"	45	428393	10.5
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2009"	"2009"	"Female"	"F"	32	459795	7.0
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2009"	"2009"	"Male"	"M"	36	431935	8.3
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2010"	"2010"	"Female"	"F"	28	463974	6.0
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2010"	"2010"	"Male"	"M"	31	435673	7.1
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2011"	"2011"	"Female"	"F"	35	468243	7.5
	"Brain and Other Nervous System"	"31010-31040"	"Delaware"	"10"	"2011"	"2011"	"Male"	"M"	34	439347	7.7
	"Brain and Other Nervous System"	"31010-31040"	"District of Columbia"	"11"	"2004"	"2004"	"Male"	"M"	18	267470	6.7
	"Brain and Other Nervous System"	"31010-31040"	"District of Columbia"	"11"	"2005"	"2005"	"Female"	"F"	21	299613	7.0
	"Brain and Other Nervous System"	"31010-31040"	"District of Columbia"	"11"	"2006"	"2006"	"Male"	"M"	19	269359	7.1
	"Brain and Other Nervous System"	"31010-31040"	"District of Columbia"	"11"	"2007"	"2007"	"Male"	"M"	21	271455	7.7
	"Brain and Other Nervous System"	"31010-31040"	"District of Columbia"	"11"	"2008"	"2008"	"Female"	"F"	16	306265	5.2
	"Brain and Other Nervous System"	"31010-31040"	"District of Columbia"	"11"	"2008"	"2008"	"Male"	"M"	22	273971	8.0
	"Brain and Other Nervous System"	"31010-31040"	"District of Columbia"	"11"	"2009"	"2009"	"Female"	"F"	18	311828	5.8
	"Brain and Other Nervous System"	"31010-31040"	"District of Columbia"	"11"	"2009"	"2009"	"Male"	"M"	16	280400	5.7
	"Brain and Other Nervous System"	"31010-31040"	"District of Columbia"	"11"	"2010"	"2010"	"Female"	"F"	19	319308	6.0
	"Brain and Other Nervous System"	"31010-31040"	"District of Columbia"	"11"	"2010"	"2010"	"Male"	"M"	16	285974	5.6
	"Brain and Other Nervous System"	"31010-31040"	"District of Columbia"	"11"	"2011"	"2011"	"Male"	"M"	19	293695	6.5
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2002"	"2002"	"Female"	"F"	628	8541734	7.4
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2002"	"2002"	"Male"	"M"	721	8147636	8.8
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2003"	"2003"	"Female"	"F"	573	8697573	6.6
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2003"	"2003"	"Male"	"M"	761	8306512	9.2
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2004"	"2004"	"Female"	"F"	633	8902447	7.1
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2004"	"2004"	"Male"	"M"	784	8512871	9.2
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2005"	"2005"	"Female"	"F"	640	9117950	7.0
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2005"	"2005"	"Male"	"M"	832	8724088	9.5
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2006"	"2006"	"Female"	"F"	627	9280080	6.8
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2006"	"2006"	"Male"	"M"	767	8886910	8.6
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2007"	"2007"	"Female"	"F"	643	9378587	6.9
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2007"	"2007"	"Male"	"M"	789	8989255	8.8
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2008"	"2008"	"Female"	"F"	640	9465279	6.8
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2008"	"2008"	"Male"	"M"	778	9062026	8.6
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2009"	"2009"	"Female"	"F"	685	9534289	7.2
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2009"	"2009"	"Male"	"M"	823	9118355	9.0
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2010"	"2010"	"Female"	"F"	661	9633882	6.9
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2010"	"2010"	"Male"	"M"	847	9212261	9.2
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2011"	"2011"	"Female"	"F"	646	9736576	6.6
	"Brain and Other Nervous System"	"31010-31040"	"Florida"	"12"	"2011"	"2011"	"Male"	"M"	840	9319031	9.0
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2002"	"2002"	"Female"	"F"	227	4327934	5.2
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2002"	"2002"	"Male"	"M"	284	4180322	6.8
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2003"	"2003"	"Female"	"F"	239	4394952	5.4
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2003"	"2003"	"Male"	"M"	270	4227841	6.4
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2004"	"2004"	"Female"	"F"	273	4463524	6.1
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2004"	"2004"	"Male"	"M"	270	4305728	6.3
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2005"	"2005"	"Female"	"F"	248	4555263	5.4
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2005"	"2005"	"Male"	"M"	303	4370659	6.9
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2006"	"2006"	"Female"	"F"	266	4670606	5.7
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2006"	"2006"	"Male"	"M"	276	4485207	6.2
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2007"	"2007"	"Female"	"F"	275	4777572	5.8
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2007"	"2007"	"Male"	"M"	305	4572416	6.7
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2008"	"2008"	"Female"	"F"	260	4856984	5.4
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2008"	"2008"	"Male"	"M"	336	4647859	7.2
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2009"	"2009"	"Female"	"F"	261	4917756	5.3
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2009"	"2009"	"Male"	"M"	341	4703090	7.3
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2010"	"2010"	"Female"	"F"	259	4970859	5.2
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2010"	"2010"	"Male"	"M"	330	4741350	7.0
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2011"	"2011"	"Female"	"F"	270	5016509	5.4
	"Brain and Other Nervous System"	"31010-31040"	"Georgia"	"13"	"2011"	"2011"	"Male"	"M"	330	4787121	6.9
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"2002"	"2002"	"Female"	"F"	29	616192	4.7
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"2002"	"2002"	"Male"	"M"	27	623421	4.3
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"2003"	"2003"	"Female"	"F"	22	623753	3.5
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"2003"	"2003"	"Male"	"M"	31	627401	4.9
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"2004"	"2004"	"Female"	"F"	26	636864	4.1
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"2004"	"2004"	"Male"	"M"	30	636705	4.7
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"2005"	"2005"	"Female"	"F"	29	644813	4.5
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"2005"	"2005"	"Male"	"M"	21	647916	3.2
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"2006"	"2006"	"Female"	"F"	27	652351	4.1
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"2006"	"2006"	"Male"	"M"	32	657380	4.9
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"2007"	"2007"	"Female"	"F"	23	657185	3.5
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"2007"	"2007"	"Male"	"M"	34	658490	5.2
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"2008"	"2008"	"Female"	"F"	23	665313	3.5
	"Brain and Other Nervous System"	"31010-31040"	"Hawaii"	"15"	"2008"	"2008"	"Male"	"M"	39	666900	5.8
